Keyword	Conversions	Cost / conv.	Final URL	Mobile final URL	Clicks	Impr.	CTR	Avg. CPC	Cost	Conv. rate
ディープラーニング 企業	0.00	0			1	7	14.29%	49	49	0.00%
ai machine learning	0.00	0			1	42	2.38%	109	109	0.00%
機械学習 製品	0.00	0			0	7	0.00%	0	0	0.00%
映像認識	0.00	0			9	305	2.95%	49	441	0.00%
データサイエンティストとは	0.00	0			5	584	0.86%	93	467	0.00%
ビックデータとは	0.00	0			0	46	0.00%	0	0	0.00%
人工知能 最新技術	0.00	0			0	37	0.00%	0	0	0.00%
ai スクール	0.00	0			0	4	0.00%	0	0	0.00%
パイソン 入門 本	0.00	0			0	2	0.00%	0	0	0.00%
python 参考書	0.00	0			0	29	0.00%	0	0	0.00%
watson 画像認識	0.00	0			0	7	0.00%	0	0	0.00%
tensorflow notebook	0.00	0			0	1	0.00%	0	0	0.00%
ai 開発 学習	0.00	0			1	30	3.33%	119	119	0.00%
ai の 活用	0.00	0			1	78	1.28%	50	50	0.00%
ツール 機械学習	0.00	0			1	10	10.00%	107	107	0.00%
ツール 人工知能	0.00	0			0	29	0.00%	0	0	0.00%
プラットホーム ai	0.00	0			0	2	0.00%	0	0	0.00%
人工知能 AI開発	0.00	0			0	1	0.00%	0	0	0.00%
人物判定 ai	0.00	0			0	6	0.00%	0	0	0.00%
TensorFlow 物体認識	0.00	0			0	1	0.00%	0	0	0.00%
Chainer 物体認識	0.00	0			0	4	0.00%	0	0	0.00%
TensorFlow 構築	0.00	0			0	1	0.00%	0	0	0.00%
GUI 導入	0.00	0			0	4	0.00%	0	0	0.00%
ツール GUI	0.00	0			0	41	0.00%	0	0	0.00%
ツール モデル	0.00	0			0	15	0.00%	0	0	0.00%
ディープ・ラーニング 開発	0.00	0			0	41	0.00%	0	0	0.00%
ディープ・ラーニング クラウド	0.00	0			0	15	0.00%	0	0	0.00%
開発 ai 開発	0.00	0			0	4	0.00%	0	0	0.00%
ai 開発 クラウド	0.00	0			2	33	6.06%	121	242	0.00%
